10.8,2.626,0.27889,2.67,0,0,0
2.626,5.4685,3.8208,0,0,0,0
0.27889,3.8208,7.4861,0,0,0,0
2.67,0,0,8.67,0,0,0
0,0,0,0,0.756,0.0175,0.291
0,0,0,0,0.0175,0.992,-0.0991
0,0,0,0,0.291,-0.0991,2.92
