0.23,0.23,0.23,0,0.115,0.115,0.205,0.205,0,0,0,0.38,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.5,-0.052,0.004,0.004,0.0025,0.0025,0,0.0909,0,0.0909,0.0909,0,0.4091
0,0,-0.067,0.5,0.012,0.012,0.0025,0.0025,0,0,0,0,0,0,0
0.3557,0.314,-0.0034,0.0353,0.25,0.25,-0.14895,-0.14895,-0.3639,-0.4202,0.43,-0.0583,-0.0583,0.316,0.191
0.3557,0.314,-0.0034,0.0353,0.25,0.25,-0.14895,-0.14895,-0.3639,-0.4202,0.43,-0.0583,-0.0583,0.316,0.191
0,0,0.0129,0.002,-0.097,-0.097,0.25,0.25,-0.2299,-0.287,-0.2,0.1939,0.1939,-0.2482,-0.1482
0,0,0.0129,0.002,-0.097,-0.097,0.25,0.25,-0.2299,-0.287,-0.2,0.1939,0.1939,-0.2482,-0.1482
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.3089,0,0,-0.1485,0
0,0,0,0,-0.25,-0.25,0,0,0,-0.5484,0,0.47,0,0,0
0,0,0,0,0,0,-0.138,-0.138,0,0.3855,0.46,1.2381,1.2381,-0.46,0
0,0,0,0,0,0,0,0,0,0,0,0,0.9567,0,0
0,0,0,0,-0.1103,-0.1103,-0.12275,-0.12275,0,-0.2395,0,-0.47,0,1.2381,1.2381
0,0,0,0,-0.145,-0.145,-0.155,-0.155,0,0,0,0,0,0.5896,2.5587
